region_gea,urt,mat,tenr,year,value
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,rur,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
AFR,urb,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,rur,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
CPA,urb,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,rur,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
EEU,urb,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,rur,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
FSU,urb,perm,ns,NA,1
LAC,rur,perm,ns,NA,1
LAC,rur,perm,ns,NA,1
LAC,rur,perm,ns,NA,1
LAC,rur,perm,ns,NA,1
LAC,rur,perm,ns,NA,1
LAC,rur,perm,ns,NA,1
