scenario,region_gea,year,fuel,value
NPi2020_400_V4,AFR,2075,biomass_solid,109.6
NPi2020_400_V4,AFR,2075,coal,94.6
NPi2020_400_V4,AFR,2075,district_heat,0.095743626
NPi2020_400_V4,AFR,2075,electricity,0.01074026
NPi2020_400_V4,AFR,2075,gas,56.1
NPi2020_400_V4,AFR,2075,oil,73.3
NPi2020_400_V4,AFR,2080,biomass_solid,109.6
NPi2020_400_V4,AFR,2080,coal,94.6
NPi2020_400_V4,AFR,2080,district_heat,0
NPi2020_400_V4,AFR,2080,electricity,0
NPi2020_400_V4,AFR,2080,gas,56.1
NPi2020_400_V4,AFR,2080,oil,73.3
NPi2020_400_V4,AFR,2085,biomass_solid,109.6
NPi2020_400_V4,AFR,2085,coal,94.6
NPi2020_400_V4,AFR,2085,district_heat,0
NPi2020_400_V4,AFR,2085,electricity,0
NPi2020_400_V4,AFR,2085,gas,56.1
NPi2020_400_V4,AFR,2085,oil,73.3
NPi2020_400_V4,AFR,2090,biomass_solid,109.6
NPi2020_400_V4,AFR,2090,coal,94.6
NPi2020_400_V4,AFR,2090,district_heat,0
NPi2020_400_V4,AFR,2090,electricity,0
NPi2020_400_V4,AFR,2090,gas,56.1
NPi2020_400_V4,AFR,2090,oil,73.3
NPi2020_400_V4,AFR,2095,biomass_solid,109.6
NPi2020_400_V4,AFR,2095,coal,94.6
NPi2020_400_V4,AFR,2095,district_heat,0
NPi2020_400_V4,AFR,2095,electricity,0
NPi2020_400_V4,AFR,2095,gas,56.1
NPi2020_400_V4,AFR,2095,oil,73.3
NPi2020_400_V4,AFR,2100,biomass_solid,109.6
NPi2020_400_V4,AFR,2100,coal,94.6
NPi2020_400_V4,AFR,2100,district_heat,0
NPi2020_400_V4,AFR,2100,electricity,0
NPi2020_400_V4,AFR,2100,gas,56.1
NPi2020_400_V4,AFR,2100,oil,73.3
NPi2020_400_V4,CPA,2010,biomass_solid,109.6
NPi2020_400_V4,CPA,2010,coal,94.6
NPi2020_400_V4,CPA,2010,district_heat,131.9732675
NPi2020_400_V4,CPA,2010,electricity,297.0902523
NPi2020_400_V4,CPA,2010,gas,56.1
NPi2020_400_V4,CPA,2010,oil,73.3
NPi2020_400_V4,CPA,2015,biomass_solid,109.6
NPi2020_400_V4,CPA,2015,coal,94.6
NPi2020_400_V4,CPA,2015,district_heat,70.78822543
NPi2020_400_V4,CPA,2015,electricity,220.6840148
NPi2020_400_V4,CPA,2015,gas,56.1
NPi2020_400_V4,CPA,2015,oil,73.3
NPi2020_400_V4,CPA,2020,biomass_solid,109.6
NPi2020_400_V4,CPA,2020,coal,94.6
NPi2020_400_V4,CPA,2020,district_heat,39.49537537
NPi2020_400_V4,CPA,2020,electricity,172.2356316
NPi2020_400_V4,CPA,2020,gas,56.1
NPi2020_400_V4,CPA,2020,oil,73.3
NPi2020_400_V4,CPA,2025,biomass_solid,109.6
NPi2020_400_V4,CPA,2025,coal,94.6
NPi2020_400_V4,CPA,2025,district_heat,34.54833346
NPi2020_400_V4,CPA,2025,electricity,90.74305754
NPi2020_400_V4,CPA,2025,gas,56.1
NPi2020_400_V4,CPA,2025,oil,73.3
NPi2020_400_V4,CPA,2030,biomass_solid,109.6
NPi2020_400_V4,CPA,2030,coal,94.6
NPi2020_400_V4,CPA,2030,district_heat,29.39353837
NPi2020_400_V4,CPA,2030,electricity,29.0395269
NPi2020_400_V4,CPA,2030,gas,56.1
NPi2020_400_V4,CPA,2030,oil,73.3
NPi2020_400_V4,CPA,2035,biomass_solid,109.6
NPi2020_400_V4,CPA,2035,coal,94.6
NPi2020_400_V4,CPA,2035,district_heat,20.4265279
NPi2020_400_V4,CPA,2035,electricity,13.0516149
NPi2020_400_V4,CPA,2035,gas,56.1
NPi2020_400_V4,CPA,2035,oil,73.3
NPi2020_400_V4,CPA,2040,biomass_solid,109.6
NPi2020_400_V4,CPA,2040,coal,94.6
NPi2020_400_V4,CPA,2040,district_heat,7.714840827
NPi2020_400_V4,CPA,2040,electricity,1.025086104
NPi2020_400_V4,CPA,2040,gas,56.1
NPi2020_400_V4,CPA,2040,oil,73.3
NPi2020_400_V4,CPA,2045,biomass_solid,109.6
NPi2020_400_V4,CPA,2045,coal,94.6
NPi2020_400_V4,CPA,2045,district_heat,4.064640662
NPi2020_400_V4,CPA,2045,electricity,-0.103662486
NPi2020_400_V4,CPA,2045,gas,56.1
NPi2020_400_V4,CPA,2045,oil,73.3
NPi2020_400_V4,CPA,2050,biomass_solid,109.6
NPi2020_400_V4,CPA,2050,coal,94.6
NPi2020_400_V4,CPA,2050,district_heat,0
NPi2020_400_V4,CPA,2050,electricity,-1.045911183
NPi2020_400_V4,CPA,2050,gas,56.1
NPi2020_400_V4,CPA,2050,oil,73.3
NPi2020_400_V4,CPA,2055,biomass_solid,109.6
NPi2020_400_V4,CPA,2055,coal,94.6
NPi2020_400_V4,CPA,2055,district_heat,0
NPi2020_400_V4,CPA,2055,electricity,-0.694352029
NPi2020_400_V4,CPA,2055,gas,56.1
NPi2020_400_V4,CPA,2055,oil,73.3
NPi2020_400_V4,CPA,2060,biomass_solid,109.6
NPi2020_400_V4,CPA,2060,coal,94.6
NPi2020_400_V4,CPA,2060,district_heat,0
NPi2020_400_V4,CPA,2060,electricity,-0.369289623
NPi2020_400_V4,CPA,2060,gas,56.1
NPi2020_400_V4,CPA,2060,oil,73.3
NPi2020_400_V4,CPA,2065,biomass_solid,109.6
NPi2020_400_V4,CPA,2065,coal,94.6
NPi2020_400_V4,CPA,2065,district_heat,0
NPi2020_400_V4,CPA,2065,electricity,-0.184972709
NPi2020_400_V4,CPA,2065,gas,56.1
NPi2020_400_V4,CPA,2065,oil,73.3
NPi2020_400_V4,CPA,2070,biomass_solid,109.6
NPi2020_400_V4,CPA,2070,coal,94.6
NPi2020_400_V4,CPA,2070,district_heat,0
NPi2020_400_V4,CPA,2070,electricity,0
NPi2020_400_V4,CPA,2070,gas,56.1
NPi2020_400_V4,CPA,2070,oil,73.3
NPi2020_400_V4,CPA,2075,biomass_solid,109.6
NPi2020_400_V4,CPA,2075,coal,94.6
NPi2020_400_V4,CPA,2075,district_heat,0
NPi2020_400_V4,CPA,2075,electricity,-0.007567843
NPi2020_400_V4,CPA,2075,gas,56.1
NPi2020_400_V4,CPA,2075,oil,73.3
NPi2020_400_V4,CPA,2080,biomass_solid,109.6
NPi2020_400_V4,CPA,2080,coal,94.6
NPi2020_400_V4,CPA,2080,district_heat,0
NPi2020_400_V4,CPA,2080,electricity,-0.015356493
NPi2020_400_V4,CPA,2080,gas,56.1
NPi2020_400_V4,CPA,2080,oil,73.3
NPi2020_400_V4,CPA,2085,biomass_solid,109.6
NPi2020_400_V4,CPA,2085,coal,94.6
NPi2020_400_V4,CPA,2085,district_heat,0
NPi2020_400_V4,CPA,2085,electricity,-0.015725594
NPi2020_400_V4,CPA,2085,gas,56.1
NPi2020_400_V4,CPA,2085,oil,73.3
NPi2020_400_V4,CPA,2090,biomass_solid,109.6
NPi2020_400_V4,CPA,2090,coal,94.6
NPi2020_400_V4,CPA,2090,district_heat,0
NPi2020_400_V4,CPA,2090,electricity,-0.016112875
NPi2020_400_V4,CPA,2090,gas,56.1
NPi2020_400_V4,CPA,2090,oil,73.3
NPi2020_400_V4,CPA,2095,biomass_solid,109.6
NPi2020_400_V4,CPA,2095,coal,94.6
NPi2020_400_V4,CPA,2095,district_heat,0
NPi2020_400_V4,CPA,2095,electricity,-0.016519229
NPi2020_400_V4,CPA,2095,gas,56.1
NPi2020_400_V4,CPA,2095,oil,73.3
NPi2020_400_V4,CPA,2100,biomass_solid,109.6
NPi2020_400_V4,CPA,2100,coal,94.6
NPi2020_400_V4,CPA,2100,district_heat,0
NPi2020_400_V4,CPA,2100,electricity,-0.016946608
NPi2020_400_V4,CPA,2100,gas,56.1
NPi2020_400_V4,CPA,2100,oil,73.3
NPi2020_400_V4,EEU,2010,biomass_solid,109.6
NPi2020_400_V4,EEU,2010,coal,94.6
NPi2020_400_V4,EEU,2010,district_heat,35.00180117
NPi2020_400_V4,EEU,2010,electricity,226.4461935
NPi2020_400_V4,EEU,2010,gas,56.1
NPi2020_400_V4,EEU,2010,oil,73.3
NPi2020_400_V4,EEU,2015,biomass_solid,109.6
NPi2020_400_V4,EEU,2015,coal,94.6
NPi2020_400_V4,EEU,2015,district_heat,31.19941529
NPi2020_400_V4,EEU,2015,electricity,181.4122369
NPi2020_400_V4,EEU,2015,gas,56.1
NPi2020_400_V4,EEU,2015,oil,73.3
NPi2020_400_V4,EEU,2020,biomass_solid,109.6
NPi2020_400_V4,EEU,2020,coal,94.6
NPi2020_400_V4,EEU,2020,district_heat,28.34314943
NPi2020_400_V4,EEU,2020,electricity,141.1015445
NPi2020_400_V4,EEU,2020,gas,56.1
NPi2020_400_V4,EEU,2020,oil,73.3
NPi2020_400_V4,EEU,2025,biomass_solid,109.6
NPi2020_400_V4,EEU,2025,coal,94.6
NPi2020_400_V4,EEU,2025,district_heat,25.42208645
NPi2020_400_V4,EEU,2025,electricity,58.69845464
NPi2020_400_V4,EEU,2025,gas,56.1
NPi2020_400_V4,EEU,2025,oil,73.3
NPi2020_400_V4,EEU,2030,biomass_solid,109.6
NPi2020_400_V4,EEU,2030,coal,94.6
NPi2020_400_V4,EEU,2030,district_heat,20.15539257
NPi2020_400_V4,EEU,2030,electricity,0.293188349
NPi2020_400_V4,EEU,2030,gas,56.1
NPi2020_400_V4,EEU,2030,oil,73.3
NPi2020_400_V4,EEU,2035,biomass_solid,109.6
NPi2020_400_V4,EEU,2035,coal,94.6
NPi2020_400_V4,EEU,2035,district_heat,21.96658179
NPi2020_400_V4,EEU,2035,electricity,-4.406508333
NPi2020_400_V4,EEU,2035,gas,56.1
NPi2020_400_V4,EEU,2035,oil,73.3
NPi2020_400_V4,EEU,2040,biomass_solid,109.6
NPi2020_400_V4,EEU,2040,coal,94.6
NPi2020_400_V4,EEU,2040,district_heat,25.18779943
NPi2020_400_V4,EEU,2040,electricity,-8.139151873
NPi2020_400_V4,EEU,2040,gas,56.1
NPi2020_400_V4,EEU,2040,oil,73.3
NPi2020_400_V4,EEU,2045,biomass_solid,109.6
NPi2020_400_V4,EEU,2045,coal,94.6
NPi2020_400_V4,EEU,2045,district_heat,24.76764614
NPi2020_400_V4,EEU,2045,electricity,-8.705024922
NPi2020_400_V4,EEU,2045,gas,56.1
NPi2020_400_V4,EEU,2045,oil,73.3
NPi2020_400_V4,EEU,2050,biomass_solid,109.6
NPi2020_400_V4,EEU,2050,coal,94.6
NPi2020_400_V4,EEU,2050,district_heat,24.05380257
NPi2020_400_V4,EEU,2050,electricity,-9.211425379
NPi2020_400_V4,EEU,2050,gas,56.1
NPi2020_400_V4,EEU,2050,oil,73.3
NPi2020_400_V4,EEU,2055,biomass_solid,109.6
NPi2020_400_V4,EEU,2055,coal,94.6
NPi2020_400_V4,EEU,2055,district_heat,18.58033944
NPi2020_400_V4,EEU,2055,electricity,-7.384853264
NPi2020_400_V4,EEU,2055,gas,56.1
NPi2020_400_V4,EEU,2055,oil,73.3
NPi2020_400_V4,EEU,2060,biomass_solid,109.6
NPi2020_400_V4,EEU,2060,coal,94.6
NPi2020_400_V4,EEU,2060,district_heat,11.73838735
NPi2020_400_V4,EEU,2060,electricity,-5.73402007
NPi2020_400_V4,EEU,2060,gas,56.1
NPi2020_400_V4,EEU,2060,oil,73.3
NPi2020_400_V4,EEU,2065,biomass_solid,109.6
NPi2020_400_V4,EEU,2065,coal,94.6
NPi2020_400_V4,EEU,2065,district_heat,-45.33847587
NPi2020_400_V4,EEU,2065,electricity,17.44424382
NPi2020_400_V4,EEU,2065,gas,56.1
NPi2020_400_V4,EEU,2065,oil,73.3
NPi2020_400_V4,EEU,2070,biomass_solid,109.6
NPi2020_400_V4,EEU,2070,coal,94.6
NPi2020_400_V4,EEU,2070,district_heat,-96.86316982
NPi2020_400_V4,EEU,2070,electricity,37.97322793
NPi2020_400_V4,EEU,2070,gas,56.1
NPi2020_400_V4,EEU,2070,oil,73.3
NPi2020_400_V4,EEU,2075,biomass_solid,109.6
NPi2020_400_V4,EEU,2075,coal,94.6
NPi2020_400_V4,EEU,2075,district_heat,-48.67543167
NPi2020_400_V4,EEU,2075,electricity,19.48256275
NPi2020_400_V4,EEU,2075,gas,56.1
NPi2020_400_V4,EEU,2075,oil,73.3
NPi2020_400_V4,EEU,2080,biomass_solid,109.6
NPi2020_400_V4,EEU,2080,coal,94.6
NPi2020_400_V4,EEU,2080,district_heat,-8.283750162
NPi2020_400_V4,EEU,2080,electricity,2.151003493
NPi2020_400_V4,EEU,2080,gas,56.1
NPi2020_400_V4,EEU,2080,oil,73.3
NPi2020_400_V4,EEU,2085,biomass_solid,109.6
NPi2020_400_V4,EEU,2085,coal,94.6
NPi2020_400_V4,EEU,2085,district_heat,-5.552718997
NPi2020_400_V4,EEU,2085,electricity,1.146142772
NPi2020_400_V4,EEU,2085,gas,56.1
NPi2020_400_V4,EEU,2085,oil,73.3
NPi2020_400_V4,EEU,2090,biomass_solid,109.6
NPi2020_400_V4,EEU,2090,coal,94.6
NPi2020_400_V4,EEU,2090,district_heat,-3.340590812
NPi2020_400_V4,EEU,2090,electricity,0.167191067
NPi2020_400_V4,EEU,2090,gas,56.1
NPi2020_400_V4,EEU,2090,oil,73.3
NPi2020_400_V4,EEU,2095,biomass_solid,109.6
NPi2020_400_V4,EEU,2095,coal,94.6
NPi2020_400_V4,EEU,2095,district_heat,-2.622374515
NPi2020_400_V4,EEU,2095,electricity,0.082511812
NPi2020_400_V4,EEU,2095,gas,56.1
NPi2020_400_V4,EEU,2095,oil,73.3
NPi2020_400_V4,EEU,2100,biomass_solid,109.6
NPi2020_400_V4,EEU,2100,coal,94.6
NPi2020_400_V4,EEU,2100,district_heat,-2.047676713
NPi2020_400_V4,EEU,2100,electricity,0
NPi2020_400_V4,EEU,2100,gas,56.1
NPi2020_400_V4,EEU,2100,oil,73.3
NPi2020_400_V4,FSU,2010,biomass_solid,109.6
NPi2020_400_V4,FSU,2010,coal,94.6
NPi2020_400_V4,FSU,2010,district_heat,54.97544346
NPi2020_400_V4,FSU,2010,electricity,226.7292706
NPi2020_400_V4,FSU,2010,gas,56.1
NPi2020_400_V4,FSU,2010,oil,73.3
NPi2020_400_V4,FSU,2015,biomass_solid,109.6
NPi2020_400_V4,FSU,2015,coal,94.6
NPi2020_400_V4,FSU,2015,district_heat,47.47184174
NPi2020_400_V4,FSU,2015,electricity,203.7415475
NPi2020_400_V4,FSU,2015,gas,56.1
NPi2020_400_V4,FSU,2015,oil,73.3
NPi2020_400_V4,FSU,2020,biomass_solid,109.6
NPi2020_400_V4,FSU,2020,coal,94.6
NPi2020_400_V4,FSU,2020,district_heat,35.98489936
NPi2020_400_V4,FSU,2020,electricity,185.1204335
NPi2020_400_V4,FSU,2020,gas,56.1
NPi2020_400_V4,FSU,2020,oil,73.3
NPi2020_400_V4,FSU,2025,biomass_solid,109.6
NPi2020_400_V4,FSU,2025,coal,94.6
NPi2020_400_V4,FSU,2025,district_heat,30.51271662
NPi2020_400_V4,FSU,2025,electricity,100.7476174
NPi2020_400_V4,FSU,2025,gas,56.1
NPi2020_400_V4,FSU,2025,oil,73.3
NPi2020_400_V4,FSU,2030,biomass_solid,109.6
NPi2020_400_V4,FSU,2030,coal,94.6
NPi2020_400_V4,FSU,2030,district_heat,23.25622396
NPi2020_400_V4,FSU,2030,electricity,39.09897963
NPi2020_400_V4,FSU,2030,gas,56.1
NPi2020_400_V4,FSU,2030,oil,73.3
NPi2020_400_V4,FSU,2035,biomass_solid,109.6
NPi2020_400_V4,FSU,2035,coal,94.6
NPi2020_400_V4,FSU,2035,district_heat,22.12958286
NPi2020_400_V4,FSU,2035,electricity,17.0567549
NPi2020_400_V4,FSU,2035,gas,56.1
NPi2020_400_V4,FSU,2035,oil,73.3
NPi2020_400_V4,FSU,2040,biomass_solid,109.6
NPi2020_400_V4,FSU,2040,coal,94.6
NPi2020_400_V4,FSU,2040,district_heat,20.29943665
NPi2020_400_V4,FSU,2040,electricity,0.366985483
NPi2020_400_V4,FSU,2040,gas,56.1
NPi2020_400_V4,FSU,2040,oil,73.3
NPi2020_400_V4,FSU,2045,biomass_solid,109.6
NPi2020_400_V4,FSU,2045,coal,94.6
NPi2020_400_V4,FSU,2045,district_heat,17.33333126
NPi2020_400_V4,FSU,2045,electricity,-0.693568733
NPi2020_400_V4,FSU,2045,gas,56.1
NPi2020_400_V4,FSU,2045,oil,73.3
NPi2020_400_V4,FSU,2050,biomass_solid,109.6
NPi2020_400_V4,FSU,2050,coal,94.6
NPi2020_400_V4,FSU,2050,district_heat,13.08160959
NPi2020_400_V4,FSU,2050,electricity,-1.596439156
NPi2020_400_V4,FSU,2050,gas,56.1
NPi2020_400_V4,FSU,2050,oil,73.3
NPi2020_400_V4,FSU,2055,biomass_solid,109.6
NPi2020_400_V4,FSU,2055,coal,94.6
NPi2020_400_V4,FSU,2055,district_heat,11.97168953
NPi2020_400_V4,FSU,2055,electricity,-0.74993754
NPi2020_400_V4,FSU,2055,gas,56.1
NPi2020_400_V4,FSU,2055,oil,73.3
NPi2020_400_V4,FSU,2060,biomass_solid,109.6
NPi2020_400_V4,FSU,2060,coal,94.6
NPi2020_400_V4,FSU,2060,district_heat,10.23306277
NPi2020_400_V4,FSU,2060,electricity,-9.74E-07
NPi2020_400_V4,FSU,2060,gas,56.1
NPi2020_400_V4,FSU,2060,oil,73.3
NPi2020_400_V4,FSU,2065,biomass_solid,109.6
NPi2020_400_V4,FSU,2065,coal,94.6
NPi2020_400_V4,FSU,2065,district_heat,7.568823033
NPi2020_400_V4,FSU,2065,electricity,-4.71E-07
NPi2020_400_V4,FSU,2065,gas,56.1
NPi2020_400_V4,FSU,2065,oil,73.3
NPi2020_400_V4,FSU,2070,biomass_solid,109.6
NPi2020_400_V4,FSU,2070,coal,94.6
NPi2020_400_V4,FSU,2070,district_heat,4.135708238
NPi2020_400_V4,FSU,2070,electricity,0
NPi2020_400_V4,FSU,2070,gas,56.1
NPi2020_400_V4,FSU,2070,oil,73.3
NPi2020_400_V4,FSU,2075,biomass_solid,109.6
NPi2020_400_V4,FSU,2075,coal,94.6
NPi2020_400_V4,FSU,2075,district_heat,2.47632025
NPi2020_400_V4,FSU,2075,electricity,0
NPi2020_400_V4,FSU,2075,gas,56.1
NPi2020_400_V4,FSU,2075,oil,73.3
NPi2020_400_V4,FSU,2080,biomass_solid,109.6
NPi2020_400_V4,FSU,2080,coal,94.6
NPi2020_400_V4,FSU,2080,district_heat,0.759094159
NPi2020_400_V4,FSU,2080,electricity,0
NPi2020_400_V4,FSU,2080,gas,56.1
NPi2020_400_V4,FSU,2080,oil,73.3
NPi2020_400_V4,FSU,2085,biomass_solid,109.6
NPi2020_400_V4,FSU,2085,coal,94.6
NPi2020_400_V4,FSU,2085,district_heat,0.317139743
NPi2020_400_V4,FSU,2085,electricity,0
NPi2020_400_V4,FSU,2085,gas,56.1
NPi2020_400_V4,FSU,2085,oil,73.3
NPi2020_400_V4,FSU,2090,biomass_solid,109.6
NPi2020_400_V4,FSU,2090,coal,94.6
NPi2020_400_V4,FSU,2090,district_heat,-0.121328341
NPi2020_400_V4,FSU,2090,electricity,0
NPi2020_400_V4,FSU,2090,gas,56.1
NPi2020_400_V4,FSU,2090,oil,73.3
NPi2020_400_V4,FSU,2095,biomass_solid,109.6
NPi2020_400_V4,FSU,2095,coal,94.6
NPi2020_400_V4,FSU,2095,district_heat,-0.374380091
NPi2020_400_V4,FSU,2095,electricity,0
NPi2020_400_V4,FSU,2095,gas,56.1
NPi2020_400_V4,FSU,2095,oil,73.3
NPi2020_400_V4,FSU,2100,biomass_solid,109.6
NPi2020_400_V4,FSU,2100,coal,94.6
NPi2020_400_V4,FSU,2100,district_heat,-0.603529771
NPi2020_400_V4,FSU,2100,electricity,0
NPi2020_400_V4,FSU,2100,gas,56.1
NPi2020_400_V4,FSU,2100,oil,73.3
NPi2020_400_V4,LAC,2010,biomass_solid,109.6
NPi2020_400_V4,LAC,2010,coal,94.6
NPi2020_400_V4,LAC,2010,district_heat,0
NPi2020_400_V4,LAC,2010,electricity,65.86685432
NPi2020_400_V4,LAC,2010,gas,56.1
NPi2020_400_V4,LAC,2010,oil,73.3
NPi2020_400_V4,LAC,2015,biomass_solid,109.6
NPi2020_400_V4,LAC,2015,coal,94.6
NPi2020_400_V4,LAC,2015,district_heat,0
NPi2020_400_V4,LAC,2015,electricity,65.74368951
NPi2020_400_V4,LAC,2015,gas,56.1
NPi2020_400_V4,LAC,2015,oil,73.3
NPi2020_400_V4,LAC,2020,biomass_solid,109.6
NPi2020_400_V4,LAC,2020,coal,94.6
NPi2020_400_V4,LAC,2020,district_heat,0
NPi2020_400_V4,LAC,2020,electricity,65.64978161
NPi2020_400_V4,LAC,2020,gas,56.1
NPi2020_400_V4,LAC,2020,oil,73.3
NPi2020_400_V4,LAC,2025,biomass_solid,109.6
NPi2020_400_V4,LAC,2025,coal,94.6
NPi2020_400_V4,LAC,2025,district_heat,0
NPi2020_400_V4,LAC,2025,electricity,33.85999081
NPi2020_400_V4,LAC,2025,gas,56.1
NPi2020_400_V4,LAC,2025,oil,73.3
NPi2020_400_V4,LAC,2030,biomass_solid,109.6
NPi2020_400_V4,LAC,2030,coal,94.6
NPi2020_400_V4,LAC,2030,district_heat,0
NPi2020_400_V4,LAC,2030,electricity,11.31721005
NPi2020_400_V4,LAC,2030,gas,56.1
NPi2020_400_V4,LAC,2030,oil,73.3
NPi2020_400_V4,LAC,2035,biomass_solid,109.6
NPi2020_400_V4,LAC,2035,coal,94.6
NPi2020_400_V4,LAC,2035,district_heat,0
NPi2020_400_V4,LAC,2035,electricity,4.811905585
NPi2020_400_V4,LAC,2035,gas,56.1
NPi2020_400_V4,LAC,2035,oil,73.3
NPi2020_400_V4,LAC,2040,biomass_solid,109.6
NPi2020_400_V4,LAC,2040,coal,94.6
NPi2020_400_V4,LAC,2040,district_heat,0
NPi2020_400_V4,LAC,2040,electricity,0.710478874
NPi2020_400_V4,LAC,2040,gas,56.1
NPi2020_400_V4,LAC,2040,oil,73.3
NPi2020_400_V4,LAC,2045,biomass_solid,109.6
NPi2020_400_V4,LAC,2045,coal,94.6
NPi2020_400_V4,LAC,2045,district_heat,0
NPi2020_400_V4,LAC,2045,electricity,-0.902947799
NPi2020_400_V4,LAC,2045,gas,56.1
NPi2020_400_V4,LAC,2045,oil,73.3
NPi2020_400_V4,LAC,2050,biomass_solid,109.6
NPi2020_400_V4,LAC,2050,coal,94.6
NPi2020_400_V4,LAC,2050,district_heat,0
NPi2020_400_V4,LAC,2050,electricity,-2.174455918
NPi2020_400_V4,LAC,2050,gas,56.1
NPi2020_400_V4,LAC,2050,oil,73.3
NPi2020_400_V4,LAC,2055,biomass_solid,109.6
NPi2020_400_V4,LAC,2055,coal,94.6
NPi2020_400_V4,LAC,2055,district_heat,0
NPi2020_400_V4,LAC,2055,electricity,-13.38044036
NPi2020_400_V4,LAC,2055,gas,56.1
NPi2020_400_V4,LAC,2055,oil,73.3
NPi2020_400_V4,LAC,2060,biomass_solid,109.6
NPi2020_400_V4,LAC,2060,coal,94.6
NPi2020_400_V4,LAC,2060,district_heat,0
NPi2020_400_V4,LAC,2060,electricity,-22.71200421
NPi2020_400_V4,LAC,2060,gas,56.1
NPi2020_400_V4,LAC,2060,oil,73.3
NPi2020_400_V4,LAC,2065,biomass_solid,109.6
NPi2020_400_V4,LAC,2065,coal,94.6
NPi2020_400_V4,LAC,2065,district_heat,0
NPi2020_400_V4,LAC,2065,electricity,-19.90697272
