region_gea,fuel_heat,bld_age_min,year,value
WEU,nsp,20,2020,0.01
WEU,nsp,20,2025,0.01
WEU,nsp,20,2030,0.01
WEU,nsp,20,2035,0.01
WEU,nsp,20,2040,0.01
WEU,nsp,20,2045,0.01
WEU,nsp,20,2050,0.01
WEU,nsp,20,2055,0.01
WEU,nsp,20,2060,0.01
WEU,nsp,20,2065,0.01
WEU,nsp,20,2070,0.01
WEU,nsp,20,2075,0.01
WEU,nsp,20,2080,0.01
WEU,nsp,20,2085,0.01
WEU,nsp,20,2090,0.01
WEU,nsp,20,2095,0.01
WEU,nsp,20,2100,0.01
EEU,nsp,20,2020,0.01
EEU,nsp,20,2025,0.01
EEU,nsp,20,2030,0.01
EEU,nsp,20,2035,0.01
EEU,nsp,20,2040,0.01
EEU,nsp,20,2045,0.01
EEU,nsp,20,2050,0.01
EEU,nsp,20,2055,0.01
EEU,nsp,20,2060,0.01
EEU,nsp,20,2065,0.01
EEU,nsp,20,2070,0.01
EEU,nsp,20,2075,0.01
EEU,nsp,20,2080,0.01
EEU,nsp,20,2085,0.01
EEU,nsp,20,2090,0.01
EEU,nsp,20,2095,0.01
EEU,nsp,20,2100,0.01
"NAM",nsp,20,2020,0.01
"NAM",nsp,20,2025,0.01
"NAM",nsp,20,2030,0.01
"NAM",nsp,20,2035,0.01
"NAM",nsp,20,2040,0.01
"NAM",nsp,20,2045,0.01
"NAM",nsp,20,2050,0.01
"NAM",nsp,20,2055,0.01
"NAM",nsp,20,2060,0.01
"NAM",nsp,20,2065,0.01
"NAM",nsp,20,2070,0.01
"NAM",nsp,20,2075,0.01
"NAM",nsp,20,2080,0.01
"NAM",nsp,20,2085,0.01
"NAM",nsp,20,2090,0.01
"NAM",nsp,20,2095,0.01
"NAM",nsp,20,2100,0.01
PAO,nsp,20,2020,0.01
PAO,nsp,20,2025,0.01
PAO,nsp,20,2030,0.01
PAO,nsp,20,2035,0.01
PAO,nsp,20,2040,0.01
PAO,nsp,20,2045,0.01
PAO,nsp,20,2050,0.01
PAO,nsp,20,2055,0.01
PAO,nsp,20,2060,0.01
PAO,nsp,20,2065,0.01
PAO,nsp,20,2070,0.01
PAO,nsp,20,2075,0.01
PAO,nsp,20,2080,0.01
PAO,nsp,20,2085,0.01
PAO,nsp,20,2090,0.01
PAO,nsp,20,2095,0.01
PAO,nsp,20,2100,0.01
FSU,nsp,20,2020,0.01
FSU,nsp,20,2025,0.01
FSU,nsp,20,2030,0.01
FSU,nsp,20,2035,0.01
FSU,nsp,20,2040,0.01
FSU,nsp,20,2045,0.01
FSU,nsp,20,2050,0.01
FSU,nsp,20,2055,0.01
FSU,nsp,20,2060,0.01
FSU,nsp,20,2065,0.01
FSU,nsp,20,2070,0.01
FSU,nsp,20,2075,0.01
FSU,nsp,20,2080,0.01
FSU,nsp,20,2085,0.01
FSU,nsp,20,2090,0.01
FSU,nsp,20,2095,0.01
FSU,nsp,20,2100,0.01
AFR,nsp,20,2020,0.01
AFR,nsp,20,2025,0.01
AFR,nsp,20,2030,0.01
AFR,nsp,20,2035,0.01
AFR,nsp,20,2040,0.01
AFR,nsp,20,2045,0.01
AFR,nsp,20,2050,0.01
AFR,nsp,20,2055,0.01
AFR,nsp,20,2060,0.01
AFR,nsp,20,2065,0.01
AFR,nsp,20,2070,0.01
AFR,nsp,20,2075,0.01
AFR,nsp,20,2080,0.01
AFR,nsp,20,2085,0.01
AFR,nsp,20,2090,0.01
AFR,nsp,20,2095,0.01
AFR,nsp,20,2100,0.01
SAS,nsp,20,2020,0.01
SAS,nsp,20,2025,0.01
SAS,nsp,20,2030,0.01
SAS,nsp,20,2035,0.01
SAS,nsp,20,2040,0.01
SAS,nsp,20,2045,0.01
SAS,nsp,20,2050,0.01
SAS,nsp,20,2055,0.01
SAS,nsp,20,2060,0.01
SAS,nsp,20,2065,0.01
SAS,nsp,20,2070,0.01
SAS,nsp,20,2075,0.01
SAS,nsp,20,2080,0.01
SAS,nsp,20,2085,0.01
SAS,nsp,20,2090,0.01
SAS,nsp,20,2095,0.01
SAS,nsp,20,2100,0.01
PAS,nsp,20,2020,0.01
PAS,nsp,20,2025,0.01
PAS,nsp,20,2030,0.01
PAS,nsp,20,2035,0.01
PAS,nsp,20,2040,0.01
PAS,nsp,20,2045,0.01
PAS,nsp,20,2050,0.01
PAS,nsp,20,2055,0.01
PAS,nsp,20,2060,0.01
PAS,nsp,20,2065,0.01
PAS,nsp,20,2070,0.01
PAS,nsp,20,2075,0.01
PAS,nsp,20,2080,0.01
PAS,nsp,20,2085,0.01
PAS,nsp,20,2090,0.01
PAS,nsp,20,2095,0.01
PAS,nsp,20,2100,0.01
LAC,nsp,20,2020,0.01
LAC,nsp,20,2025,0.01
LAC,nsp,20,2030,0.01
LAC,nsp,20,2035,0.01
LAC,nsp,20,2040,0.01
LAC,nsp,20,2045,0.01
LAC,nsp,20,2050,0.01
LAC,nsp,20,2055,0.01
LAC,nsp,20,2060,0.01
LAC,nsp,20,2065,0.01
LAC,nsp,20,2070,0.01
LAC,nsp,20,2075,0.01
LAC,nsp,20,2080,0.01
LAC,nsp,20,2085,0.01
LAC,nsp,20,2090,0.01
LAC,nsp,20,2095,0.01
LAC,nsp,20,2100,0.01
MEA,nsp,20,2020,0.01
MEA,nsp,20,2025,0.01
MEA,nsp,20,2030,0.01
MEA,nsp,20,2035,0.01
MEA,nsp,20,2040,0.01
MEA,nsp,20,2045,0.01
MEA,nsp,20,2050,0.01
MEA,nsp,20,2055,0.01
MEA,nsp,20,2060,0.01
MEA,nsp,20,2065,0.01
MEA,nsp,20,2070,0.01
MEA,nsp,20,2075,0.01
MEA,nsp,20,2080,0.01
MEA,nsp,20,2085,0.01
MEA,nsp,20,2090,0.01
MEA,nsp,20,2095,0.01
MEA,nsp,20,2100,0.01
CPA,nsp,20,2020,0.01
CPA,nsp,20,2025,0.01
CPA,nsp,20,2030,0.01
CPA,nsp,20,2035,0.01
CPA,nsp,20,2040,0.01
CPA,nsp,20,2045,0.01
CPA,nsp,20,2050,0.01
CPA,nsp,20,2055,0.01
CPA,nsp,20,2060,0.01
CPA,nsp,20,2065,0.01
CPA,nsp,20,2070,0.01
CPA,nsp,20,2075,0.01
CPA,nsp,20,2080,0.01
CPA,nsp,20,2085,0.01
CPA,nsp,20,2090,0.01
CPA,nsp,20,2095,0.01
