region_gea,urt,arch,mat
AFR,rur,mfh,perm
AFR,rur,sfh,perm
AFR,urb,inf,sub
AFR,urb,mfh,perm
AFR,urb,sfh,perm
CPA,rur,mfh,perm
CPA,rur,sfh,perm
CPA,urb,inf,sub
CPA,urb,mfh,perm
CPA,urb,sfh,perm
EEU,rur,mfh,perm
EEU,rur,sfh,perm
EEU,urb,mfh,perm
EEU,urb,sfh,perm
FSU,rur,mfh,perm
FSU,rur,sfh,perm
FSU,urb,mfh,perm
FSU,urb,sfh,perm
LAC,rur,mfh,perm
LAC,rur,sfh,perm
LAC,urb,inf,sub
LAC,urb,mfh,perm
LAC,urb,sfh,perm
MEA,rur,mfh,perm
MEA,rur,sfh,perm
MEA,urb,inf,sub
MEA,urb,mfh,perm
MEA,urb,sfh,perm
NAM,rur,mfh,perm
NAM,rur,sfh,perm
NAM,urb,mfh,perm
NAM,urb,sfh,perm
PAO,rur,mfh,perm
PAO,rur,sfh,perm
PAO,urb,mfh,perm
PAO,urb,sfh,perm
PAS,rur,mfh,perm
PAS,rur,sfh,perm
PAS,urb,inf,sub
PAS,urb,mfh,perm
PAS,urb,sfh,perm
SAS,rur,mfh,perm
SAS,rur,sfh,perm
SAS,urb,inf,sub
SAS,urb,mfh,perm
SAS,urb,sfh,perm
WEU,rur,mfh,perm
WEU,rur,sfh,perm
WEU,urb,mfh,perm
WEU,urb,sfh,perm
