Model,Scenario,Region,Variable,Unit,2020,2025,2030
MESSAGEix-Buildings,SSP2,R12_AFR,Energy Service|Residential|Floor Space,bn m2,14.94157,18.97153,24.11289
MESSAGEix-Buildings,SSP2,R12_CHN,Energy Service|Residential|Floor Space,bn m2,58.64107,61.38384,63.42537
MESSAGEix-Buildings,SSP2,R12_EEU,Energy Service|Residential|Floor Space,bn m2,3.35577,3.51094,3.60127
MESSAGEix-Buildings,SSP2,R12_FSU,Energy Service|Residential|Floor Space,bn m2,6.72475,7.23507,7.89458
MESSAGEix-Buildings,SSP2,R12_LAM,Energy Service|Residential|Floor Space,bn m2,12.2017,13.7728,15.42451
MESSAGEix-Buildings,SSP2,R12_MEA,Energy Service|Residential|Floor Space,bn m2,9.62478,11.35005,13.18818
MESSAGEix-Buildings,SSP2,R12_NAM,Energy Service|Residential|Floor Space,bn m2,24.44494,24.76091,25.13786
MESSAGEix-Buildings,SSP2,R12_PAO,Energy Service|Residential|Floor Space,bn m2,6.59851,6.7044,6.79328
MESSAGEix-Buildings,SSP2,R12_PAS,Energy Service|Residential|Floor Space,bn m2,11.90138,13.32116,14.77474
MESSAGEix-Buildings,SSP2,R12_RCPA,Energy Service|Residential|Floor Space,bn m2,4.62176,5.21619,5.76837
MESSAGEix-Buildings,SSP2,R12_SAS,Energy Service|Residential|Floor Space,bn m2,28.54617,33.84622,39.30306
MESSAGEix-Buildings,SSP2,R12_WEU,Energy Service|Residential|Floor Space,bn m2,20.87326,21.2785,21.60387
MESSAGEix-Buildings,SSP2,R12_AFR,Energy Service|Residential|Slum|Floor Space,bn m2,2.55781,2.91126,2.90393
MESSAGEix-Buildings,SSP2,R12_AFR,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.65343,0.86765,1.22458
MESSAGEix-Buildings,SSP2,R12_AFR,Energy Service|Residential|Single-family|Floor Space,bn m2,11.73033,15.19262,19.98438
MESSAGEix-Buildings,SSP2,R12_CHN,Energy Service|Residential|Slum|Floor Space,bn m2,4.51982,3.9741,3.0135
MESSAGEix-Buildings,SSP2,R12_CHN,Energy Service|Residential|Multi-family|Floor Space,bn m2,38.37377,41.57016,44.59344
MESSAGEix-Buildings,SSP2,R12_CHN,Energy Service|Residential|Single-family|Floor Space,bn m2,15.74749,15.83958,15.81843
MESSAGEix-Buildings,SSP2,R12_EEU,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.31677,1.41915,1.49466
MESSAGEix-Buildings,SSP2,R12_EEU,Energy Service|Residential|Single-family|Floor Space,bn m2,2.039,2.09179,2.10661
MESSAGEix-Buildings,SSP2,R12_FSU,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.16593,3.47732,3.86937
MESSAGEix-Buildings,SSP2,R12_FSU,Energy Service|Residential|Single-family|Floor Space,bn m2,3.55883,3.75775,4.02522
MESSAGEix-Buildings,SSP2,R12_LAM,Energy Service|Residential|Slum|Floor Space,bn m2,1.4841,1.54868,1.57427
MESSAGEix-Buildings,SSP2,R12_LAM,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.59743,0.69605,0.80432
MESSAGEix-Buildings,SSP2,R12_LAM,Energy Service|Residential|Single-family|Floor Space,bn m2,10.12017,11.52806,13.04592
MESSAGEix-Buildings,SSP2,R12_MEA,Energy Service|Residential|Slum|Floor Space,bn m2,1.20458,1.25364,1.23594
MESSAGEix-Buildings,SSP2,R12_MEA,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.78242,0.95158,1.14326
MESSAGEix-Buildings,SSP2,R12_MEA,Energy Service|Residential|Single-family|Floor Space,bn m2,7.63779,9.14483,10.80898
MESSAGEix-Buildings,SSP2,R12_NAM,Energy Service|Residential|Multi-family|Floor Space,bn m2,2.94831,3.03262,3.12493
MESSAGEix-Buildings,SSP2,R12_NAM,Energy Service|Residential|Single-family|Floor Space,bn m2,21.49663,21.72829,22.01293
MESSAGEix-Buildings,SSP2,R12_PAO,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.48683,1.52247,1.5541
MESSAGEix-Buildings,SSP2,R12_PAO,Energy Service|Residential|Single-family|Floor Space,bn m2,5.11168,5.18193,5.23918
MESSAGEix-Buildings,SSP2,R12_PAS,Energy Service|Residential|Slum|Floor Space,bn m2,0.99398,1.02259,1.02533
MESSAGEix-Buildings,SSP2,R12_PAS,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.60538,1.82544,2.05825
